"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"200","NE15440C000","U Stars Supermarket","U STARS SUPERMARKET PTE. LTD.","261 PUNGGOL WAY #01-02, PUNGGOL TOPAZ S(820261) MULTI STOREY CAR PARK","820261",1.40540615,103.896847089001
"201","NE15467C000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","476 UPPER SERANGOON VIEW #02-18, PUNGGOL TOPAZ S(530476) MULTI STOREY CAR PARK","530476",1.3773579,103.9037449
"202","NE15476B000","HAO MART","HAO MART PTE. LTD.","308C PUNGGOL WALK #01-352, WATERWAY TERRACES I S(823308)","823308",1.408190375,103.899086709272
"203","NE15611B000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","671 EDGEFIELD PLAINS #02-01, S(820671)","820671",1.40497848333333,103.910994359398
"204","NE15762X000","FAIRPRICE FINEST","NTUC FAIRPRICE CO-OPERATIVE LTD","83 PUNGGOL CENTRAL #B2-32, WATERWAY POINT S(828761)","828761",1.4065858,103.902162088889
"205","NE16139A000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","259 PASIR RIS STREET 21 #01-27, S(510259)","510259",1.3666726,103.9645454
"206","NE16363K000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","1 SENGKANG SQUARE #B1-25, COMPASS ONE S(545078) 1 SENGKANG MALL (1SM)","545078",1.39255736857143,103.895232904632
"207","NE16640E000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","51 TAMPINES AVENUE 4 #B1-01, OUR TAMPINES HUB S(529684)","529684",1.35136335,103.940030017309
"208","NE16747J000","U Stars Supermarket","U STARS SUPERMARKET PTE. LTD.","218 SUMANG WALK #01-01, S(820218)","820218",1.4032155,103.895248194989
"209","NE16875P000","HAO MART","HAO MART PTE. LTD.","487B TAMPINES STREET 45 #B1-123, S(521487)","521487",1.36016165,103.958380490643
"210","NE17023N000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","258 PASIR RIS STREET 21 #02-10, LOYANG POINT S(510258)","510258",1.3670929,103.9647716
"211","NE17098V000","U Stars Supermarket","U STARS SUPERMARKET PTE. LTD.","215C COMPASSVALE DRIVE #01-01, S(543215)","543215",1.38989995,103.893076668655
"212","NE17390X000","U Stars Supermarket","U STARS SUPERMARKET PTE. LTD.","878C TAMPINES AVENUE 8 #01-65, S(523878)","523878",1.35131825,103.929413636985
"213","NE17563L000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","872C TAMPINES STREET 86 #02-01, S(523872)","523872",1.35524745,103.931649677485
"214","NE17700J000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","660A EDGEDALE PLAINS #01-01, WATERWAY SUNDEW S(821660)","821660",1.40261225,103.916564339425
"215","NE18169P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","681 PUNGGOL DRIVE #B1-01, S(820681)","820681",1.40287704,103.913059962774
"216","NE18339P000","The Seafood Market Place by Song Fish","SONG FISH DEALER PTE LTD","2 TAMPINES CENTRAL 5 #B1-08, CENTURY SQUARE S(529509)","529509",1.35232162857143,103.943986394732
"217","NE18406E000","J-MART JAPANESE FOOD MARKET","TANESEI RETAILING PTE. LTD.","2 TAMPINES CENTRAL 5 #B1-06, CENTURY SQUARE S(529509)","529509",1.35232162857143,103.943986394732
"218","NE18529J000","The Seafood Market Place by Song Fish","SONG FISH DEALER PTE LTD","681 PUNGGOL DRIVE #01-09,#01-11,#01-10, S(820681)","820681",1.40287704,103.913059962774
"219","NE18667L000","HAO MART","HAO MART PTE. LTD.","658 PUNGGOL EAST #01-01, S(820658)","820658",1.39998505,103.919228376753
"220","NE19271N000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","231 SUMANG LANE #01-02, S(820231)","820231",1.402006875,103.892177568521
"221","NW04014P000","-","COLD STORAGE SINGAPORE (1983) PTE LTD","102 YISHUN AVENUE 5 #01-125, S(760102)","760102",49.29472135,16.3089963784069
"222","NW04127A000","-","NTUC FAIRPRICE CO-OPERATIVE LTD","900 SOUTH WOODLANDS DRIVE #B1-01, WOODLANDS CIVIC CENTRE S(730900)","730900",1.43500917,103.786829815131
"223","NW06239N000","-","THNG SAIK MONG","108 CLEMENTI STREET 11 #01-K1, S(120108)","120108",11.54573,104.9049028
"224","NW06546V000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","511 CANBERRA ROAD #02-03, SEMBAWANG MART S(750511)","750511",1.45394,103.81945
"225","NW07277P000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","355 SEMBAWANG WAY #01-01, S(750355)","750355",1.4494926,103.8186677
"226","NW07636K000","GIANT","COLD STORAGE SINGAPORE (1983) PTE LTD","406A SEMBAWANG DRIVE #01-02, MULTI STOREY CAR PARK S(751406)","751406",1.452761,103.8171615
"227","NW07726J000","MM SUNDRY SHOP","MM SUNDRY SHOP PTE. LTD.","27 WOODLANDS SECTOR 1 #01-70, WOODLANDS DORMITORY S(738252)","738252",1.45482435,103.804614065479
"228","NW08020K000","COLD STORAGE","COLD STORAGE SINGAPORE (1983) PTE LTD","70 WOODLANDS AVENUE 7 #01-05, ADMIRALTY MRT STATION S(738344)","738344",1.44053895,103.8007608
