"","Type","Name","Address","Region","postcode","lat","long"
"207","Tourist Attraction","Sentosa Beach Station","33 Allanbroke Road, Sentosa, S(099981)","Central","099981",1.2484,103.828
"208","Bus Interchange","Tampines Concourse Bus Interchange","11 Tampines Concourse, S(529543)","North East","529543",1.3544,103.944
"209","Club","Safra Punggol","9 Sentul Crescent, S(828654)","North East","828654",1.4102,103.906
"210","Market & Food Centre","Pasir Ris Central Hawker Centre","110 Pasir Ris Central, S(519641)","North East","519641",1.3735,103.951
"211","Market & Food Centre","Serangoon Garden Market","49A Serangoon Garden Way, S(555945)","North East","555945",1.3629,103.866
"212","MRT Station","Bedok Reservoir MRT Station (DT30)","371 Bedok North Avenue 3, S(469724)","North East","469724",1.3366,103.932
"213","MRT Station","Kovan MRT Station (NE13)","900 Upper Serangoon Rd, S(534799)","North East","534799",1.3602,103.885
"214","Bus Interchange","Bukit Panjang Intergrated Transport Hub","15 Petir Road, S(678270)","North West","678270",1.3783,103.763
"215","Bus Interchange","Yishun Integrated Hub Bus Interchange","20A Yishun Central, S(768830)","North West","768830",1.4299,103.838
"216","Market & Food Centre","Yishun Park Hawker Centre","51 Yishun Avenue 11, S(768867)","North West","768867",1.425,103.844
"217","MRT Station","Springleaf MRT Station (TE4)","825 Upper Thomson Road, S(787140)","North West","787140",1.3982,103.817
"218","MRT Station","Woodlands Station (TEL2)","11 Woodlands Square, S(737736)","North West","737736",1.4363,103.787
"219","Shopping Centre","888 Plaza","Blk 888, Woodlands Drive 50, S(731888)","North West","731888",1.4381,103.795
"220","Bus Interchange","Upper East Coast Bus Terminal","740 Upper East Coast Road, S(465549)","South East","465549",1.318,103.952
"221","Market & Food Centre","East Coast Lagoon Food Village","1220 East Coast Parkway, S(468960)","South East","468960",1.3071,103.935
"222","MRT Station","Bartley MRT Station","212 Upper Paya Lebar, S(534881)","South East","534881",1.3423,103.884
"223","MRT Station","Expo MRT Station","21 Upper Changi South Avenue 1, S(486065)","South East","486065",1.3346,103.961
"224","MRT Station","Macpherson MRT Station (DT26)","10 Circuit Link, S(378956)","South East","378956",1.3262,103.888
"225","MRT Station","Mattar MRT Station (DT25)","60 Merpati Road, S(379314)","South East","379314",1.327,103.883
"226","MRT Station","Ubi MRT Station (DT27)","51 Ubi Avenue 2, S(408899)","South East","408899",1.33,103.899
"227","MRT Station","Upper Changi MRT Station","690 Upper Changi Road East, S(485990)","South East","485990",1.3417,103.961
"228","Private Office","Kah Engineering (1988) Pte Ltd","96B Jalan Senang, S(418482)","South East","418482",1.327,103.916
"229","Bus Interchange","Queens Street Bus Terminal","Queens Street Bus Terminal, S(884001)","Central","884001",40.70720295,-73.7953427875033
"230","Bus Interchange","Yio Chu Kang Bus Interchange","Ang Mo Kio Avenue 8, Singapore S(088401)","Central","088401",1.3812632,103.8456699
"231","Tourist Attraction","ArBora Cafe","109 Mount Faber Road, Level 2, S(099230)","Central","099230",43.1364304,6.0074818
"232","Tourist Attraction","Sentosa Palawan Beach (East)","Palawan Beach Walk, S(098521)","Central","098521",1.2476421,103.8218273
"233","Tourist Attraction","Sentosa Siloso (West)","Sentosa Siliso East","Central","Sentosa Siliso East",1.2516681,103.8175772
"234","Bus Interchange","Woodlands Temporary Bus Interchange","3A Woodlands Square, S(727735)","North West","727735",1.4373794,103.785948832271
"235","Bus Interchange","Kent Ridge Bus Terminal","37B, Clementi Road, S(884005)","Central","884005",1.3006986,103.7701199
"236","MRT Station","Marina Bay MRT Station","21 Marina Station Road, S(018990)","Central","018990",53.2944034,-3.8315239
"237","Tourist Attraction","Sentosa Palawan Beach (West)","Palawan Beach Walk, S(098038)","Central","098038",1.2486413,103.8226446
"238","MRT Station","Canberra MRT Station (NS12)","11, Canberra Link, S(756922)","North West","756922",1.44320255,103.829632677268
"239","MRT Station","Woodlands South Station (TEL3)","30 Woodlands Drive 17, S(737741)","North West","737741",1.4271409,103.794297638151
