"","Name","rack_count","longitude","latitude","address"
"38","kml_38",10,"103.882564768151","1.30683793381775","Mountbatten, Singapore"
"39","kml_39",54,"103.882761808601","1.30667738571103","Mountbatten, Singapore"
"40","kml_40",70,"103.883241446738","1.3060057439877","Mountbatten, Singapore"
"41","kml_41",72,"103.874764943341","1.30247977308283","3 Stadium Walk, Singapore 397692"
"42","kml_42",21,"103.876105836068","1.30340524056604","3 Stadium Walk, Singapore 397692"
"43","kml_43",80,"103.876425749761","1.30326132988584","3 Stadium Walk, Singapore 397692"
"44","kml_44",8,"103.874712670181","1.30270192754657","3 Stadium Walk, Singapore 397692"
"45","kml_45",103,"103.895171418769","1.39077443371104","Sengkang, Singapore"
"46","kml_46",16,"103.901682957568","1.40427343891246","70 Punggol Central, Singapore"
"47","kml_47",16,"103.902056500532","1.40407915615113","70A Punggol Pl, Singapore 828865"
"48","kml_48",16,"103.901757122922","1.40399282201715","70 Punggol Central, Singapore"
"49","kml_49",52,"103.901653453818","1.40382373675046","Punggol Temp Int, Singapore"
"50","kml_50",54,"103.903070857594","1.40598136964261","70 Punggol Central, Singapore"
"51","kml_51",48,"103.903065954149","1.40637441018208","70 Punggol Central, Singapore"
"52","kml_52",27,"103.90275986953","1.4061450708736","70 Punggol Central, Singapore"
"53","kml_53",165,"103.902663359545","1.40631596085151","70 Punggol Central, Singapore"
"54","kml_54",28,"103.902352343362","1.40552269402108","Punggol Stn (Waterway Pt)(65251), Along Punggol Central, Singapore"
"55","kml_55",34,"103.893352646092","1.38320462775854","SG Compassvale Bow 85, 530558 Buangkok, Singapore 544685"
"56","kml_56",64,"103.893443792948","1.38299281524307","10 Sengkang Central, Singapore 545061"
"57","kml_57",70,"103.893331183799","1.38261866505015","277C Compassvale Link, Singapore 543277"
"58","kml_58",72,"103.892876326023","1.38300452193293","9VMV+65 Singapore"
"59","kml_59",64,"103.892820032929","1.38327704343397","Buangkok Stn Exit B, Singapore"
"60","kml_60",54,"103.892046754542","1.37217658901837","80 Hougang Central, Singapore 538758"
"61","kml_61",27,"103.892555216663","1.3703136184964","840 Hougang Central, Singapore 538757"
"62","kml_62",66,"103.893068178269","1.3716648013508","814 Hougang Central, Singapore"
"63","kml_63",30,"103.892921631413","1.37210551416455","814 Hougang Ave 10, Singapore 530814"
"64","kml_64",10,"103.893177198081","1.37146782857704","814 Hougang Central, Singapore"
"65","kml_65",10,"103.893085164334","1.37194001929375","814 Hougang Ave 10, Singapore 530814"
"66","kml_66",26,"103.891964529692","1.37178624865941","80 Hougang Central, Hougang MRT Station (Exit C) , Singapore 538758"
"67","kml_67",40,"103.848450088057","1.30733293517695","1 Hampshire Rd, Singapore 219428"
"68","kml_68",40,"103.849275337173","1.30560291994159","Little India, Singapore"
"69","kml_69",40,"103.849231111289","1.30694393664011","60 Bukit Timah Rd, Singapore 229900"
"70","kml_70",36,"103.839479845639","1.28097178968658","10 Outram Rd, Singapore 169037"
"71","kml_71",60,"103.839688950143","1.28059583681294","10 Outram Rd, Singapore 169037"
"72","kml_72",80,"103.782054459225","1.28297268670739","Haw Par Villa, Singapore"
"73","kml_73",78,"103.802555868028","1.27199012794376","Labrador Park MRT Station, Singapore"
"74","kml_74",80,"103.809546588086","1.27076161160507","Telok Blangah, Singapore"
"75","kml_75",24,"103.862171792219","1.31930145128109","900 Serangoon Rd, Boon Keng, Singapore 328260"
"76","kml_76",40,"103.892046085222","1.37221391439131","80 Hougang Central, Singapore 538758"
"77","kml_77",28,"103.880461849043","1.34210776885278","90 Bartley Rd, Singapore 539788"
"78","kml_78",20,"103.878842833693","1.34354662583396","212 Upper Paya Lebar Rd, Bartley, Singapore 534881"
"79","kml_79",94,"103.887588890834","1.33582144150955","33 Upper Paya Lebar Rd, Singapore 534803"
"80","kml_80",36,"103.888072320861","1.33469987047418","33 Upper Paya Lebar Rd, Singapore 534803"
"81","kml_81",56,"103.889864765442","1.32678325113049","10A Lor Bengkok, Singapore 378961"
"82","kml_82",66,"103.890201187784","1.32551957679031","171 Paya Lebar Rd, Macpherson, Singapore 409048"
"83","kml_83",48,"103.891913168146","1.31650095956081","Paya Lebar Stn Exit D, Singapore"
"84","kml_84",64,"103.891621433236","1.31794991090521","16A Paya Lebar Close, Singapore 387689"
"85","kml_85",20,"103.89370895055","1.31829343426259","30 Paya Lebar Rd, Singapore 409006"
"86","kml_86",0,"103.849851646255","1.35104128536961","17 Bishan Pl, Singapore 579842"
"87","kml_87",20,"103.84847536922","1.34999440475006","9 Bishan Place, /06, Bishan Junction 8, Singapore 579837"
"88","kml_88",72,"103.847952145253","1.35012122436934","11 Bishan Pl, Singapore 579837"
"89","kml_89",20,"103.848060278247","1.35059521122641","200 Bishan Rd, Singapore 579827"
"90","kml_90",52,"103.848207732613","1.35127786024725","Bishan, Singapore"
"91","kml_91",48,"103.864896420217","1.35131322632531","Lorong Chuan, Singapore"
"92","kml_92",20,"103.865072915232","1.35142969718984","Lorong Chuan, Singapore"
"93","kml_93",58,"103.862956559505","1.35161162917746","Lorong Chuan, Singapore"
"94","kml_94",100,"103.862442226128","1.27035626123958","31 Marina Coastal Dr, Singapore 018988"
"95","kml_95",100,"103.863711160866","1.27119269554798","Marina South Pier, Singapore"
"96","kml_96",80,"103.855005656913","1.27590657887978","Marina Bay, Singapore"
"97","kml_97",26,"103.850025250869","1.29675847995353","70 Stamford Rd, Singapore 178901"
"98","kml_98",240,"103.903052744041","1.31993528027265","30 Eunos Crescent, Eunos MRT Station, Singapore 409423"
"99","kml_99",36,"103.904004015136","1.32015740670971","4A Eunos Cres, Singapore 402004"
"100","kml_100",80,"103.913271400688","1.32123671290934","55 Sims Ave E, Kembangan, Singapore 416551"
"101","kml_101",22,"103.91325620554","1.32123335001819","55 Sims Ave E, Kembangan, Singapore 416551"
"102","kml_102",63,"103.912256227035","1.32089242165306","30 Lor Mydin, Singapore 416825"
"103","kml_103",58,"103.912256227035","1.32089242165306","30 Lor Mydin, Singapore 416825"
"104","kml_104",10,"103.929448801248","1.32362982916169","315 New Upper Changi Rd, Bedok, Singapore 467347"
"105","kml_105",19,"103.929046220367","1.32357677983547","775 New Upper Changi Rd, Singapore 467349"
"106","kml_106",15,"103.945842560048","1.32765127669938","Tanah Merah Stn Exit B, Singapore"
"107","kml_107",56,"103.945780891808","1.32747589548072","Tanah Merah Stn Exit B, Singapore"
"108","kml_108",52,"103.946145495393","1.32755457676445","Tanah Merah Stn Exit B, Singapore"
"109","kml_109",5,"103.946145048561","1.32755367736537","Tanah Merah Stn Exit B, Singapore"
"110","kml_110",17,"103.946405953706","1.32680176239834","693 New Upper Changi Rd, Singapore 467348"
"111","kml_111",55,"103.946407740952","1.32680221199609","693 New Upper Changi Rd, Singapore 467348"
"112","kml_112",36,"103.946090047099","1.32659581299204","693 New Upper Changi Rd, Singapore 467348"
"113","kml_113",32,"103.945865300491","1.32661021383418","920 New Upper Changi Rd, Singapore 467356"
